ID	DOCULECT	CONCEPT	IPA	COGID	SOURCE_COGNATE_CLASS	NOTE	PARTIAL	PARTIALIDS	CONCEPTICON_ID	TOKENS	CLPA	GLOTTOLOG
27387	Wenzhou	abacus	sø⁴²bø³¹	575	算盤		算盤	341 342	2489	s ø ⁴² b ø ³¹	c087 v171 t027 c254 v171 t014	wuch1236
27388	Changsha	abacus	sõ⁵⁵põ¹³	575	算盤		算盤	341 342	2489	s õ ∼ ⁵⁵ p õ ∼ ¹³	c087 v038 m002 t041 c288 v038 m002 t020	xian1251
27389	Nanchang	abacus	sɔn⁵⁵pʰɔn²⁴	575	算盤		算盤	341 342	2489	s ɔ n ⁵⁵ pʰ ɔ n ²⁴	c087 v067 c105 t041 c261 v067 c105 t008	gan1239
27390	Meixian	abacus	sɔn⁴²pʰan¹²	575	算盤		算盤	341 342	2489	s ɔ n ⁴² pʰ a n ¹²	c087 v067 c105 t027 c261 v130 c105 t019	hak1236
27391	Guangzhou	abacus	ʃyn³³pʰun²¹	575	算盤		算盤	341 342	2489	ʃ y n ³³ pʰ u n ²¹	c677 v166 c105 t013 c261 v027 c105 t004	yuec1235
27392	Yangjiang	abacus	ɬun²⁴pʰun⁴⁴³	575	算盤		算盤	341 342	2489	ɬ u n ²⁴ pʰ u n ⁴⁴³	c534 v027 c105 t008 c261 v027 c105 t031	yuec1235
27393	Xiamen	abacus	sῃ¹¹₅₁pũã²⁴	575	算盤		算盤	341 342	2489	s ŋ̍ ¹¹ p ũ ã ∼ ²⁴	c087 c792 t021 c288 v025 v147 m002 t008	minn1241
27394	Chaozhou	abacus	sɯŋ²¹³₅₃pũã⁵⁵	575	算盤		算盤	341 342	2489	s ɯ ŋ ²¹³ p ũ ã ∼ ⁵⁵	c087 v081 c795 t006 c288 v025 v147 m002 t041	min1241
27395	Fuzhou	abacus	souŋ²¹³₄₄muaŋ⁵²	575	算盤		算盤	341 342	2489	s o u ŋ ²¹³ m u a ŋ ⁵²	c087 v042 v027 c795 t006 c239 v027 v130 c795 t036	mind1253
26934	Beijing	all	tou⁵⁵	432	都		都	204	98	t o u ⁵⁵	c118 v042 v027 t041	mand1415
26935	Beijing	all	tɕʰyan³⁵	433	全	[2]	全	205	98	tɕʰ y a n ³⁵	c197 v166 v130 c105 t017	mand1415
26936	Jinan	all	tou²¹³	432	都		都	204	98	t o u ²¹³	c118 v042 v027 t006	mand1415
26937	Shenyang	all	tou³³	432	都		都	204	98	t o u ³³	c118 v042 v027 t013	mand1415
26938	Xian	all	tou²¹	432	都		都	204	98	t o u ²¹	c118 v042 v027 t004	mand1415
26939	Chengdu	all	təu⁴⁴	432	都		都	204	98	t ə u ⁴⁴	c118 v155 v027 t030	mand1415
26940	Kunming	all	tu⁴⁴	432	都		都	204	98	t u ⁴⁴	c118 v027 t030	mand1415
26941	Hefei	all	tu²¹²	432	都		都	204	98	t u ²¹²	c118 v027 t005	mand1415
26942	Yangzhou	all	tu³¹	432	都		都	204	98	t u ³¹	c118 v027 t014	mand1415
26943	Suzhou	all	zɛ²⁴	434	才	[*]	才	206	98	z ɛ ²⁴	c078 v229 t008	wuch1236
26944	Wenzhou	all	o²³	435	惡	[*]	惡	207	98	o ²³	v042 t003	wuch1236
26945	Changsha	all	xa²¹	436	!		A	208	98	x a ²¹	c772 v130 t004	xian1251
26946	Nanchang	all	tu⁴²	432	都		都	204	98	t u ⁴²	c118 v027 t027	gan1239
26947	Meixian	all	tu⁴⁴	432	都		都	204	98	t u ⁴⁴	c118 v027 t030	hak1236
26948	Guangzhou	all	ʃai³³	437	曬	[*]	曬	209	98	ʃ a i ³³	c677 v130 v191 t013	yuec1235
26949	Yangjiang	all	tou³³	432	都		都	204	98	t o u ³³	c118 v042 v027 t013	yuec1235
27514	Chaozhou	all	tai³⁵₂₁ke³³	628	大家		大家	393 394	98	t a i ³⁵ k e ³³	c118 v130 v191 t017 c831 v200 t013	min1241
29530	Xiamen	all	lɔŋ⁵¹₅₅	105	攏		攏	1104	98	l ɔ ŋ ⁵¹	c548 v067 c795 t038	minn1241
29544	Chaozhou	all	loŋ⁵³	105	攏		攏	1104	98	l o ŋ ⁵³	c548 v042 c795 t037	min1241
29577	Fuzhou	all	tu⁴⁴	432	都		都	204	98	t u ⁴⁴	c118 v027 t030	mind1253
29965	Beijing	all	ta⁵¹xuor²¹⁴	625	大〔家〕夥兒		大夥	393 1268	98	t a ⁵¹ x u o r ²¹⁴	c118 v130 t038 c772 v027 v042 c151 t007	mand1415
29966	Jinan	all	ta²¹xuər⁵⁵	625	大夥兒		大夥	393 1268	98	t a ²¹ x u ə r ⁵⁵	c118 v130 t004 c772 v027 v155 c151 t041	mand1415
29967	Shenyang	all	ta⁴¹xuər²¹³	625	大夥兒		大夥	393 1268	98	t a ⁴¹ x u ə r ²¹³	c118 v130 t029 c772 v027 v155 c151 t006	mand1415
29968	Xian	all	tɑ⁴⁵tɕiɑ⁰	628	大家		大家	393 394	98	t ɑ ⁴⁵ tɕ i ɑ ⁰	c118 v089 t033 c198 v191 v089 t023	mand1415
29969	Chengdu	all	ta¹³tɕia⁴⁴	628	大家		大家	393 394	98	t a ¹³ tɕ i a ⁴⁴	c118 v130 t020 c198 v191 v130 t030	mand1415
29970	Kunming	all	ta¹³tɕia⁴⁴	628	大家		大家	393 394	98	t a ¹³ tɕ i a ⁴⁴	c118 v130 t020 c198 v191 v130 t030	mand1415
29971	Hefei	all	ta⁵³tɕia²¹²	628	大家		大家	393 394	98	t a ⁵³ tɕ i a ²¹²	c118 v130 t037 c198 v191 v130 t005	mand1415
29972	Yangzhou	all	tɑ⁵⁵kɑ⁰	628	大家		大家	393 394	98	t ɑ ⁵⁵ k ɑ ⁰	c118 v089 t041 c831 v089 t023	mand1415
29973	Suzhou	all	dɒ³¹₂₂kɒ⁴⁴	628	大家		大家	393 394	98	d ɒ ³¹ k ɒ ⁴⁴	c143 v052 t014 c831 v052 t030	wuch1236
29974	Wenzhou	all	da¹¹ko⁴⁴naŋ⁰	629	大家人		大家人	393 394 1269	98	d a ¹¹ k o ⁴⁴ n a ŋ ⁰	c143 v130 t021 c831 v042 t030 c105 v130 c795 t023	wuch1236
29975	Changsha	all	tai²¹ka³³	628	大家		大家	393 394	98	t a i ²¹ k a ³³	c118 v130 v191 t004 c831 v130 t013	xian1251
29976	Nanchang	all	tʰai³¹ka⁴²	628	大家		大家	393 394	98	tʰ a i ³¹ k a ⁴²	c136 v130 v191 t014 c831 v130 t027	gan1239
29977	Nanchang	all	tʰai³¹kan⁰	626	大間	[2][*]	大間	393 1270	98	tʰ a i ³¹ k a n ⁰	c136 v130 v191 t014 c831 v130 c105 t023	gan1239
29978	Meixian	all	tsʰɛ¹²ka⁴⁴	246	齊家		齊家	1271 394	98	tsʰ ɛ ¹² k a ⁴⁴	c013 v229 t019 c831 v130 t030	hak1236
29979	Guangzhou	all	tai²²ka⁵³	628	大家		大家	393 394	98	t a i ²² k a ⁵³	c118 v130 v191 t002 c831 v130 t037	yuec1235
29980	Guangzhou	all	tai²²tʃʊŋ³³	627	大眾	[2]	大眾	393 1272	98	t a i ²² tʃ ʊ ŋ ³³	c118 v130 v191 t002 c645 v056 c795 t013	yuec1235
29981	Yangjiang	all	tai⁴⁵⁴ka³³	628	大家		大家	393 394	98	t a i ⁴⁵⁴ k a ³³	c118 v130 v191 t034 c831 v130 t013	yuec1235
29982	Xiamen	all	tai³³₁₁ke³³	628	大家		大家	393 394	98	t a i ³³ k e ³³	c118 v130 v191 t013 c831 v200 t013	minn1241
29983	Fuzhou	all	tai²⁴²₄₄a⁴⁴nøyŋ⁵²	629	大家人		大家人	393 394 1269	98	t a i ²⁴² a ⁴⁴ n ø y ŋ ⁵²	c118 v130 v191 t009 v130 t030 c105 v171 v166 c795 t036	mind1253
29984	Fuzhou	all	kɔʔ²³₃₁nøyŋ⁵²	247	各人	[2]	各人	1273 1269	98	k ɔ ʔ ²³ n ø y ŋ ⁵²	c831 v067 c405 t003 c105 v171 v166 c795 t036	mind1253
29706	Beijing	bad	xuai⁵¹	157	壞		壞	1160	1292	x u a i ⁵¹	c772 v027 v130 v191 t038	mand1415
29707	Beijing	bad	lai⁵¹	158	賴	[2]	賴	1161	1292	l a i ⁵¹	c548 v130 v191 t038	mand1415
29708	Jinan	bad	xuɛ²¹	157	壞		壞	1160	1292	x u ɛ ²¹	c772 v027 v229 t004	mand1415
29709	Jinan	bad	nɔ²¹³	159	孬	[2]	孬	1162	1292	n ɔ ²¹³	c105 v067 t006	mand1415
29710	Shenyang	bad	xuai⁴¹	157	壞		壞	1160	1292	x u a i ⁴¹	c772 v027 v130 v191 t029	mand1415
29711	Xian	bad	xuæ⁴³	157	壞		壞	1160	1292	x u æ ⁴³	c772 v027 v198 t028	mand1415
29712	Xian	bad	xɑ²¹	160	瞎	[2]	瞎	1163	1292	x ɑ ²¹	c772 v089 t004	mand1415
29713	Chengdu	bad	xuai¹³	157	壞		壞	1160	1292	x u a i ¹³	c772 v027 v130 v191 t020	mand1415
29714	Kunming	bad	xuɛ¹³	157	壞		壞	1160	1292	x u ɛ ¹³	c772 v027 v229 t020	mand1415
29715	Hefei	bad	xuɛ⁵³	157	壞		壞	1160	1292	x u ɛ ⁵³	c772 v027 v229 t037	mand1415
29716	Yangzhou	bad	xuɛ⁵⁵	157	壞		壞	1160	1292	x u ɛ ⁵⁵	c772 v027 v229 t041	mand1415
29717	Suzhou	bad	uɒ⁵¹³	157	壞		壞	1160	1292	u ɒ ⁵¹³	v027 v052 t039	wuch1236
29718	Suzhou	bad	tɕʰiʏ⁴⁴	161	! □	[2]	C	1164	1292	tɕʰ i ʏ ⁴⁴	c197 v191 v173 t030	wuch1236
29719	Wenzhou	bad	mɜ³¹	162	毛	[*]	毛	1165	1292	m ɜ ³¹	c239 v149 t014	wuch1236
29720	Changsha	bad	fai²¹	157	壞		壞	1160	1292	f a i ²¹	c447 v130 v191 t004	xian1251
29721	Nanchang	bad	fai³¹	157	壞		壞	1160	1292	f a i ³¹	c447 v130 v191 t014	gan1239
29722	Meixian	bad	fai⁴²	157	壞		壞	1160	1292	f a i ⁴²	c447 v130 v191 t027	hak1236
29723	Guangzhou	bad	wai²²	157	壞		壞	1160	1292	w a i ²²	c457 v130 v191 t002	yuec1235
29724	Yangjiang	bad	wai⁴⁵⁴	157	壞		壞	1160	1292	w a i ⁴⁵⁴	c457 v130 v191 t034	yuec1235
29725	Xiamen	bad	pʰãĩ⁵¹	163	! □		A	1166	1292	pʰ ã ĩ ∼ ⁵¹	c261 v147 v193 m002 t038	minn1241
29726	Xiamen	bad	mãĩ⁵¹	164		[2]	D	1167	1292	m ã ĩ ∼ ⁵¹	c239 v147 v193 m002 t038	minn1241
29727	Chaozhou	bad	hai¹¹	165	害		害	1168	1292	h a i ¹¹	c401 v130 v191 t021	min1241
29728	Fuzhou	bad	pʰai³¹	163	! □		A	1166	1292	pʰ a i ³¹	c261 v130 v191 t014	mind1253
29729	Fuzhou	bad	ŋai⁵²	166	!	[2]	B	1169	1292	ŋ a i ⁵²	c795 v130 v191 t036	mind1253
29140	Beijing	big	ta⁵¹	53	大		大	1052	1202	t a ⁵¹	c118 v130 t038	mand1415
29141	Jinan	big	ta²¹	53	大		大	1052	1202	t a ²¹	c118 v130 t004	mand1415
29142	Shenyang	big	ta⁴¹	53	大		大	1052	1202	t a ⁴¹	c118 v130 t029	mand1415
29143	Xian	big	tɑ⁴⁵	53	大		大	1052	1202	t ɑ ⁴⁵	c118 v089 t033	mand1415
29144	Chengdu	big	ta¹³	53	大		大	1052	1202	t a ¹³	c118 v130 t020	mand1415
29145	Kunming	big	ta¹³	53	大		大	1052	1202	t a ¹³	c118 v130 t020	mand1415
29146	Hefei	big	ta⁵³	53	大		大	1052	1202	t a ⁵³	c118 v130 t037	mand1415
29147	Yangzhou	big	tɑ⁵⁵	53	大		大	1052	1202	t ɑ ⁵⁵	c118 v089 t041	mand1415
29148	Suzhou	big	dəu³¹	53	大		大	1052	1202	d ə u ³¹	c143 v155 v027 t014	wuch1236
29149	Wenzhou	big	du¹¹	53	大		大	1052	1202	d u ¹¹	c143 v027 t021	wuch1236
29150	Changsha	big	tai²¹	53	大		大	1052	1202	t a i ²¹	c118 v130 v191 t004	xian1251
29151	Nanchang	big	tʰai³¹	53	大		大	1052	1202	tʰ a i ³¹	c136 v130 v191 t014	gan1239
29152	Meixian	big	tʰai⁴²	53	大		大	1052	1202	tʰ a i ⁴²	c136 v130 v191 t027	hak1236
29153	Guangzhou	big	tai²²	53	大		大	1052	1202	t a i ²²	c118 v130 v191 t002	yuec1235
29154	Yangjiang	big	tai⁴⁵⁴	53	大		大	1052	1202	t a i ⁴⁵⁴	c118 v130 v191 t034	yuec1235
29155	Xiamen	big	tua³³	53	大		大	1052	1202	t u a ³³	c118 v027 v130 t013	minn1241
29156	Chaozhou	big	tua¹¹	53	大		大	1052	1202	t u a ¹¹	c118 v027 v130 t021	min1241
29157	Fuzhou	big	tuai²⁴²	53	大		大	1052	1202	t u a i ²⁴²	c118 v027 v130 v191 t009	mind1253
29424	Beijing	black	xei⁵⁵	91	黑		黑	1091	163	x e i ⁵⁵	c772 v200 v191 t041	mand1415
29425	Jinan	black	xei²¹³	91	黑		黑	1091	163	x e i ²¹³	c772 v200 v191 t006	mand1415
29426	Shenyang	black	xei³³	91	黑		黑	1091	163	x e i ³³	c772 v200 v191 t013	mand1415
29427	Xian	black	xei²¹	91	黑		黑	1091	163	x e i ²¹	c772 v200 v191 t004	mand1415
29428	Chengdu	black	xe³¹	91	黑		黑	1091	163	x e ³¹	c772 v200 t014	mand1415
29429	Kunming	black	xə³¹	91	黑		黑	1091	163	x ə ³¹	c772 v155 t014	mand1415
29430	Hefei	black	xɐʔ⁴	91	黑		黑	1091	163	x ɐ ʔ ⁴	c772 v119 c405 t026	mand1415
29431	Yangzhou	black	xəʔ⁴	91	黑		黑	1091	163	x ə ʔ ⁴	c772 v155 c405 t026	mand1415
29432	Suzhou	black	hɤʔ⁴	91	黑		黑	1091	163	h ɤ ʔ ⁴	c401 v084 c405 t026	wuch1236
29433	Wenzhou	black	hɛ²³	91	黑		黑	1091	163	h ɛ ²³	c401 v229 t003	wuch1236
29434	Changsha	black	xə²⁴	91	黑		黑	1091	163	x ə ²⁴	c772 v155 t008	xian1251
29435	Nanchang	black	hɛt⁵	91	黑		黑	1091	163	h ɛ t ⁵	c401 v229 c118 t035	gan1239
29436	Nanchang	black	u⁴²	92	烏	[2]	烏	1092	163	u ⁴²	v027 t027	gan1239
29437	Meixian	black	vu⁴⁴	92	烏		烏	1092	163	v u ⁴⁴	c446 v027 t030	hak1236
29438	Guangzhou	black	hɐk⁵	91	黑		黑	1091	163	h ɐ k ⁵	c401 v119 c831 t035	yuec1235
29439	Yangjiang	black	hɐk²⁴	91	黑		黑	1091	163	h ɐ k ²⁴	c401 v119 c831 t008	yuec1235
29440	Xiamen	black	ɔ⁵⁵	92	烏		烏	1092	163	ɔ ⁵⁵	v067 t041	minn1241
29441	Chaozhou	black	ou³³	92	烏		烏	1092	163	o u ³³	v042 v027 t013	min1241
29442	Fuzhou	black	u⁴⁴	92	烏		烏	1092	163	u ⁴⁴	v027 t030	mind1253
29752	Beijing	cold (of temperature)	liaŋ³⁵	170	涼		涼	1174	2483	l i a ŋ ³⁵	c548 v191 v130 c795 t017	mand1415
29753	Jinan	cold (of temperature)	liaŋ⁴²	170	涼		涼	1174	2483	l i a ŋ ⁴²	c548 v191 v130 c795 t027	mand1415
29754	Shenyang	cold (of temperature)	liaŋ³⁵	170	涼		涼	1174	2483	l i a ŋ ³⁵	c548 v191 v130 c795 t017	mand1415
29755	Xian	cold (of temperature)	liɑŋ²⁴	170	涼		涼	1174	2483	l i ɑ ŋ ²⁴	c548 v191 v089 c795 t008	mand1415
29756	Chengdu	cold (of temperature)	niaŋ³¹	170	涼		涼	1174	2483	n i a ŋ ³¹	c105 v191 v130 c795 t014	mand1415
29757	Kunming	cold (of temperature)	liã³¹	170	涼		涼	1174	2483	l i ã ∼ ³¹	c548 v191 v147 m002 t014	mand1415
29758	Hefei	cold (of temperature)	nən²⁴	171	冷		冷	1175	2483	n ə n ²⁴	c105 v155 c105 t008	mand1415
29759	Yangzhou	cold (of temperature)	liɑŋ³⁴	170	涼		涼	1174	2483	l i ɑ ŋ ³⁴	c548 v191 v089 c795 t016	mand1415
29760	Suzhou	cold (of temperature)	laŋ³¹	171	冷		冷	1175	2483	l a ŋ ³¹	c548 v130 c795 t014	wuch1236
29761	Wenzhou	cold (of temperature)	li³¹	170	涼		涼	1174	2483	l i ³¹	c548 v191 t014	wuch1236
29762	Changsha	cold (of temperature)	lian¹³	170	涼		涼	1174	2483	l i a n ¹³	c548 v191 v130 c105 t020	xian1251
29763	Nanchang	cold (of temperature)	liɔŋ⁵⁵	170	涼		涼	1174	2483	l i ɔ ŋ ⁵⁵	c548 v191 v067 c795 t041	gan1239
29764	Meixian	cold (of temperature)	laŋ⁴⁴	171	冷		冷	1175	2483	l a ŋ ⁴⁴	c548 v130 c795 t030	hak1236
29765	Guangzhou	cold (of temperature)	lœŋ²¹	170	涼		涼	1174	2483	l œ ŋ ²¹	c548 v178 c795 t004	yuec1235
29766	Yangjiang	cold (of temperature)	liɛŋ⁴⁴³	170	涼		涼	1174	2483	l i ɛ ŋ ⁴⁴³	c548 v191 v229 c795 t031	yuec1235
29767	Xiamen	cold (of temperature)	tsʰin¹¹	172	淸		凊	1176	2483	tsʰ i n ¹¹	c013 v191 c105 t021	minn1241
29768	Chaozhou	cold (of temperature)	tsʰiŋ²¹³	172	凊		凊	1176	2483	tsʰ i ŋ ²¹³	c013 v191 c795 t006	min1241
29769	Fuzhou	cold (of temperature)	tsʰeiŋ²¹³	172	凊		凊	1176	2483	tsʰ e i ŋ ²¹³	c013 v200 v191 c795 t006	mind1253
29403	Beijing	dark	xei⁵⁵	88	黑		黑	1089	706	x e i ⁵⁵	c772 v200 v191 t041	mand1415
29404	Jinan	dark	xei²¹³	88	黑		黑	1089	706	x e i ²¹³	c772 v200 v191 t006	mand1415
29405	Jinan	dark	ŋæ̃²¹	90	暗	[2]	暗	1090	706	ŋ æ̃ ∼ ²¹	c795 v197 m002 t004	mand1415
29406	Shenyang	dark	an⁴¹	90	暗		暗	1090	706	a n ⁴¹	v130 c105 t029	mand1415
29407	Xian	dark	ŋæ̃⁴⁵	90	暗		暗	1090	706	ŋ æ̃ ∼ ⁴⁵	c795 v197 m002 t033	mand1415
29408	Chengdu	dark	xe³¹	88	黑		黑	1089	706	x e ³¹	c772 v200 t014	mand1415
29409	Kunming	dark	xə³¹	88	黑		黑	1089	706	x ə ³¹	c772 v155 t014	mand1415
29410	Hefei	dark	xɐʔ⁴	88	黑		黑	1089	706	x ɐ ʔ ⁴	c772 v119 c405 t026	mand1415
29411	Yangzhou	dark	ɛ̃⁵⁵	90	暗		暗	1090	706	ɛ̃ ∼ ⁵⁵	v231 m002 t041	mand1415
29412	Yangzhou	dark	xəʔ⁴	88	黑	[2]	黑	1089	706	x ə ʔ ⁴	c772 v155 c405 t026	mand1415
29413	Suzhou	dark	ø⁵¹³	90	暗		暗	1090	706	ø ⁵¹³	v171 t039	wuch1236
29414	Suzhou	dark	hɤʔ⁴	88	黑	[2]	黑	1089	706	h ɤ ʔ ⁴	c401 v084 c405 t026	wuch1236
29415	Wenzhou	dark	ø¹²	90	暗		暗	1090	706	ø ¹²	v171 t019	wuch1236
29416	Changsha	dark	ŋan⁵⁵	90	暗		暗	1090	706	ŋ a n ⁵⁵	c795 v130 c105 t041	xian1251
29417	Nanchang	dark	ŋɔn⁵⁵	90	暗		暗	1090	706	ŋ ɔ n ⁵⁵	c795 v067 c105 t041	gan1239
29418	Meixian	dark	am⁴²	90	暗		暗	1090	706	a m ⁴²	v130 c239 t027	hak1236
29419	Guangzhou	dark	hɐk⁵	88	黑		黑	1089	706	h ɐ k ⁵	c401 v119 c831 t035	yuec1235
29420	Yangjiang	dark	ɐm²⁴	90	暗		暗	1090	706	ɐ m ²⁴	v119 c239 t008	yuec1235
29421	Xiamen	dark	am¹¹	90	暗		暗	1090	706	a m ¹¹	v130 c239 t021	minn1241
29422	Chaozhou	dark	am²¹³	90	暗		暗	1090	706	a m ²¹³	v130 c239 t006	min1241
29423	Fuzhou	dark	aŋ²¹³	90	暗		暗	1090	706	a ŋ ²¹³	v130 c795 t006	mind1253
29598	Beijing	dirty	tsaŋ⁵⁵	120	髒		髒	1113	1230	ts a ŋ ⁵⁵	c015 v130 c795 t041	mand1415
29599	Jinan	dirty	tsaŋ²¹³	120	髒		髒	1113	1230	ts a ŋ ²¹³	c015 v130 c795 t006	mand1415
29600	Shenyang	dirty	mai³⁵tʰai⁰	122	埋 汰	[*]	埋汰	1114 1115	1230	m a i ³⁵ tʰ a i ⁰	c239 v130 v191 t017 c136 v130 v191 t023	mand1415
29601	Xian	dirty	ŋɑŋ²¹tsɑŋ⁰	123	骯髒		骯髒	1116 1113	1230	ŋ ɑ ŋ ²¹ ts ɑ ŋ ⁰	c795 v089 c795 t004 c015 v089 c795 t023	mand1415
29602	Xian	dirty	tsɑŋ²¹ɕi⁰	121	髒稀	[2]	髒稀	1113 1117	1230	ts ɑ ŋ ²¹ ɕ i ⁰	c015 v089 c795 t004 c202 v191 t023	mand1415
29603	Chengdu	dirty	o³¹tsʰo³¹₄₄	124	齷齪		齷齪	1118 1119	1230	o ³¹ tsʰ o ³¹	v042 t014 c013 v042 t014	mand1415
29604	Chengdu	dirty	tsaŋ⁴⁴	120	〔稀〕髒	[2]	髒	1113	1230	ts a ŋ ⁴⁴	c015 v130 c795 t030	mand1415
29605	Kunming	dirty	tsã⁴⁴	120	髒		髒	1113	1230	ts ã ∼ ⁴⁴	c015 v147 m002 t030	mand1415
29606	Hefei	dirty	tsɑ̃²¹²	120	髒		髒	1113	1230	ts ɑ̃ ∼ ²¹²	c015 v088 m002 t005	mand1415
29607	Hefei	dirty	ʂəʔ⁴nəŋ⁰	125	拾 弄	[2][*]	拾弄	1120 1121	1230	ʂ ə ʔ ⁴ n ə ŋ ⁰	c699 v155 c405 t026 c105 v155 c795 t023	mand1415
29608	Yangzhou	dirty	tsɑŋ³¹	120	髒		髒	1113	1230	ts ɑ ŋ ³¹	c015 v089 c795 t014	mand1415
29609	Yangzhou	dirty	u³¹tsɔ⁰	126	汚糟	[2]	汚糟	1122 1123	1230	u ³¹ ts ɔ ⁰	v027 t014 c015 v067 t023	mand1415
29610	Suzhou	dirty	oʔ⁴tsʰoʔ⁴	124	齷齪		齷齪	1118 1119	1230	o ʔ ⁴ tsʰ o ʔ ⁴	v042 c405 t026 c013 v042 c405 t026	wuch1236
29611	Wenzhou	dirty	@ɜ⁴⁴tsɜ⁴⁴	127	糟	Character for U not found on Unihan.	U糟	1124 1123	1230	ɜ ⁴⁴ ts ɜ ⁴⁴	v149 t030 c015 v149 t030	wuch1236
